Species,Common_name,Begin_study_date,End_study_date,Life_history_process,sex,Fucntional_form,Value,Units,Parameter_name,Sample_size,Method,Large_marine_ecosystem,More_specific_location,Reference,,
Larimichthys polyactis,Small yellow croaker,1985,1985,growth,both,von Bertalanffy,30.17,cm,Linf,1500,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1985,1985,growth,both,von Bertalanffy,0.4,NA,k,1500,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1985,1985,growth,both,von Bertalanffy,-0.37,NA,t0,1500,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,growth,both,von Bertalanffy,25.54,cm,Linf,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,growth,both,von Bertalanffy,0.48,NA,k,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,growth,both,von Bertalanffy,-0.3,NA,t0,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,growth,both,von Bertalanffy,24.06,cm,Linf,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,growth,both,von Bertalanffy,0.56,NA,k,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,growth,both,von Bertalanffy,-0.25,NA,t0,2000,ELEFAN I,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1960,1960,total mortality,both,NA,0.51,NA,Z,2000,length-converted catch curve,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1960,1960,natural mortality,both,NA,0.24,NA,M,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1960,1960,fishing mortality,both,NA,0.27,NA,F,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1985,1985,total mortality,both,NA,1.8,NA,Z,1500,length-converted catch curve,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1985,1985,natural mortality,both,NA,0.33,NA,M,1500,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1985,1985,fishing mortality,both,NA,1.47,NA,F,1500,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,total mortality,both,NA,2.84,NA,Z,2000,length-converted catch curve,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,natural mortality,both,NA,0.39,NA,M,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,1998,1998,fishing mortality,both,NA,2.45,NA,F,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,total mortality,both,NA,2.89,NA,Z,2000,length-converted catch curve,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,natural mortality,both,NA,0.43,NA,M,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2008,fishing mortality,both,NA,2.46,NA,F,2000,NA,Yellow Sea,"120°30′~124°00′E, 33°30′~36°00′N",Zhang GZ et al 2010 Changes of biological characteristics of small yellow croaker (Larimichthys polyactis) in the central and southern Yellow Sea,,
Larimichthys polyactis,Small yellow croaker,2008,2009,growth,both,von Bertalanffy,27,cm,Linf,1707,ELEFAN I,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,growth,both,von Bertalanffy,0.45,NA,k,1707,ELEFAN I,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,growth,both,von Bertalanffy,-0.47,NA,t0,1707,ELEFAN I,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,both,power function,0.0268,NA,a,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,both,power function,2.814,NA,b,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,total mortality,both,NA,2.4,NA,Z,1707,length-converted catch curve,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,natural mortality,both,Pauly's empirical equation,0.77,NA,M,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,natural mortality,both,Pauly's empirical equation,13.6,°C,T,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,fishing mortality,both,NA,1.63,NA,F,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2009,exploitation rate,both,NA,0.68,NA,E,1707,NA,Yellow Sea,"121°30′~123°30′E, 32°~34 °N","Zhang GZ et al 2010 Growth, mortality and optimum catchable size of small yellow croaker (Larimichthys polyactis Bleeker) in the Southern Yellow Sea. Journal of Fishery Sciences of China 17(4). ",,
Larimichthys polyactis,Small yellow croaker,2008,2008,weight at length,both,power function,3.76*10^-5,NA,a,1347,NA,Yellow Sea,central and southern Yellow Sea,Zhang GZ et al 2010 The growth characteristics of small yellow croaker Larimichthys polyactis underyearling in the central and southern Yellow Sea. Progress in Fishery Sciences 31(3).,,
Larimichthys polyactis,Small yellow croaker,2008,2008,weight at length,both,power function,2.8303,NA,b,1347,NA,Yellow Sea,central and southern Yellow Sea,Zhang GZ et al 2010 The growth characteristics of small yellow croaker Larimichthys polyactis underyearling in the central and southern Yellow Sea. Progress in Fishery Sciences 31(3).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,2.6*10^-5,NA,a,995,NA,East China Sea,northern East China Sea,Wang 2013 Study on fishery biology in the Northern East China Sea. Master's dissertation submitted to Zhejiang Ocean University. ,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,1.9304,NA,b,995,NA,East China Sea,northern East China Sea,Wang 2013 Study on fishery biology in the Northern East China Sea. Master's dissertation submitted to Zhejiang Ocean University. ,,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,both,power function,0.0107,NA,a,295,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,both,power function,2.914,NA,b,295,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,female,power function,0.0091,NA,a,203,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,female,power function,2.97,NA,b,203,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,male,power function,0.0144,NA,a,92,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2008,2009,weight at length,male,power function,2.81,NA,b,92,NA,Yellow Sea,Jiaozhou Bay,"Xue Y et al 2010 Length-weight relationships of fish species caught by bottom trawl in Jiaozhou Bay, China. Journal of Applied Ichthyology 27(2011).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,0.00967,NA,a,317,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,2.93,NA,b,317,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,female,power function,0.00986,NA,a,203,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,female,power function,2.93,NA,b,203,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,male,power function,0.012,NA,a,114,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,male,power function,2.84,NA,b,114,NA,Yellow Sea,Haizhou Bay,"Wang X et al 2013 Length–weight relationships of 43 fish species from Haizhou Bay, central Yellow Sea. Journal of Applied Ichthyology 29(2013).",,
Larimichthys polyactis,Small yellow croaker,1996,2009,natural mortality,both,NA,0.12,NA,M,NA,NA,East China Sea,Zhejiang,"Zhou YD et al 2013 Biomass estimates and MSY of silver pomfret, small yellow croaker calculated in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 32(1).",,
